SKU_Code,Design_No.,Stock,Category,Size,Color
SET209-KR-PP-XS,SET209,27,kurta set,XS,pink
SET209-KR-PP-XXL,SET209,15,kurta set,XXL,pink
SET209-KR-PP-XXXL,SET209,2,kurta set,XXXL,pink
SET210-KR-PP-L,SET210,2,kurta set,L,grey
SET210-KR-PP-M,SET210,5,kurta set,M,grey
SET210-KR-PP-S,SET210,2,kurta set,S,grey
SET210-KR-PP-XL,SET210,3,kurta set,XL,grey
SET210-KR-PP-XS,SET210,18,kurta set,XS,grey
SET211-KR-DPT-L,SET211,1,kurta set,L,teal
SET211-KR-DPT-M,SET211,1,kurta set,M,teal
SET211-KR-DPT-S,SET211,2,kurta set,S,teal
